seq_len,pred_len,learning_rate,dropout,resolved_patch_len,resolved_stride,best_epoch,train_samples,val_samples,test_samples,val_mae,val_rmse,val_mse,test_mae,test_rmse,test_mse,blast_test_mae,blast_test_rmse,blast_test_mse,rain_test_mae,rain_test_rmse,rain_test_mse,non_event_test_mae,non_event_test_rmse,non_event_test_mse,checkpoint_path,history_path
48,12,0.0001,0.2,8,8,2,397,117,117,0.05677817761898041,0.08592082262773455,0.007382387761026621,0.19007232785224915,0.4933533258135216,0.24339750409126282,0.13795161247253418,0.20951604504926863,0.04389697313308716,0.16105340421199799,0.4174058457098658,0.17422764003276825,0.19881395995616913,0.5200553201171313,0.27045753598213196,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/checkpoints/tf_sl48_lr1em04_do0p2_best.pt,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/histories/tf_sl48_lr1em04_do0p2_history.csv
48,12,0.0001,0.3,8,8,2,397,117,117,0.05714862793684006,0.08752039709941971,0.007659819908440113,0.19523140788078308,0.4946017469686483,0.24463088810443878,0.13783814013004303,0.21142445094723028,0.044700298458337784,0.165677011013031,0.42211121551151953,0.1781778782606125,0.20436479151248932,0.520571019555802,0.2709941864013672,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/checkpoints/tf_sl48_lr1em04_do0p3_best.pt,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/histories/tf_sl48_lr1em04_do0p3_history.csv
48,12,0.0003,0.1,8,8,1,397,117,117,0.0562920868396759,0.0844709666309173,0.007135344203561544,0.18250823020935059,0.4802114526588042,0.23060303926467896,0.1219700276851654,0.1810883154395113,0.03279297798871994,0.15768572688102722,0.42103903561839173,0.17727386951446533,0.1907128244638443,0.5035798841953072,0.25359269976615906,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/checkpoints/tf_sl48_lr3em04_do0p1_best.pt,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/histories/tf_sl48_lr3em04_do0p1_history.csv
48,12,0.0003,0.2,8,8,1,397,117,117,0.057380132377147675,0.08578639672079338,0.007359305862337351,0.19072091579437256,0.4937534398550614,0.24379245936870575,0.1366475373506546,0.21005111354702066,0.04412147030234337,0.154896080493927,0.41913241318820177,0.17567197978496552,0.2011716663837433,0.5201061481102177,0.27051040530204773,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/checkpoints/tf_sl48_lr3em04_do0p2_best.pt,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/histories/tf_sl48_lr3em04_do0p2_history.csv
48,12,0.0003,0.3,8,8,7,397,117,117,0.04473011940717697,0.08011731491376323,0.006418784148991108,0.16599054634571075,0.4711170987847954,0.22195132076740265,0.10623123496770859,0.1623787996495076,0.02636687457561493,0.1434500813484192,0.42355909466792346,0.17940230667591095,0.17351852357387543,0.49195636892983297,0.24202106893062592,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/checkpoints/tf_sl48_lr3em04_do0p3_best.pt,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/histories/tf_sl48_lr3em04_do0p3_history.csv
48,12,0.0005,0.1,8,8,8,397,117,117,0.04599114507436752,0.07967727632948471,0.006348468363285065,0.17971718311309814,0.48130700405437116,0.23165643215179443,0.11127573251724243,0.16618903023566534,0.02761879377067089,0.15028585493564606,0.42994898729135206,0.1848561316728592,0.18939316272735596,0.5032190768031111,0.25322943925857544,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/checkpoints/tf_sl48_lr5em04_do0p1_best.pt,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/histories/tf_sl48_lr5em04_do0p1_history.csv
48,12,0.0005,0.2,8,8,1,397,117,117,0.05869953706860542,0.08322524596032134,0.006926441565155983,0.169646754860878,0.4732312417269984,0.22394780814647675,0.10993821173906326,0.16057443683839692,0.025784149765968323,0.15311606228351593,0.41931159451191174,0.1758222132921219,0.17574383318424225,0.4956661844880778,0.24568496644496918,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/checkpoints/tf_sl48_lr5em04_do0p2_best.pt,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/histories/tf_sl48_lr5em04_do0p2_history.csv
48,12,0.0005,0.3,8,8,8,397,117,117,0.051868584007024765,0.07554346771702716,0.005706815514713526,0.16015002131462097,0.4707396243811207,0.22159579396247864,0.08891253173351288,0.13049894486015362,0.01702997460961342,0.13907089829444885,0.4252484513994083,0.1808362454175949,0.1680857092142105,0.4917462656948879,0.24181438982486725,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/checkpoints/tf_sl48_lr5em04_do0p3_best.pt,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/histories/tf_sl48_lr5em04_do0p3_history.csv
96,12,0.0001,0.1,8,8,8,349,117,117,0.05753980204463005,0.08529074824320827,0.007274511735886335,0.15915605425834656,0.4704616924657316,0.22133420407772064,0.07919435203075409,0.1156235443487555,0.013368804007768631,0.13820479810237885,0.41850613425030714,0.1751473844051361,0.16766774654388428,0.4931765262048558,0.24322308599948883,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/checkpoints/tf_sl96_lr1em04_do0p1_best.pt,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/histories/tf_sl96_lr1em04_do0p1_history.csv
96,12,0.0001,0.2,8,8,7,349,117,117,0.05677851289510727,0.0863607614629194,0.007458181120455265,0.16559216380119324,0.47431657338350525,0.22497621178627014,0.09513559192419052,0.139168461334293,0.01936786063015461,0.14139434695243835,0.419708144332771,0.17615492641925812,0.17411726713180542,0.4973032916861987,0.2473105639219284,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/checkpoints/tf_sl96_lr1em04_do0p2_best.pt,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/histories/tf_sl96_lr1em04_do0p2_history.csv
