experiment,description,model_name,split,subset,seq_len,pred_len,mae,rmse,mse
A1,patch internal only,TimeFilter,test,non_event_hours,24,12,0.1542770117521286,0.48630201890115704,0.2364896535873413
A1,patch internal only,TimeFilter,test,rain_hours,24,12,0.14817389845848083,0.4160633149370416,0.17310868203639984
A1,patch internal only,TimeFilter,val,blast_hours,24,12,0.08342599123716354,0.11889264219996509,0.014135460369288921
A1,patch internal only,TimeFilter,val,non_event_hours,24,12,0.06841746717691422,0.08806561428009224,0.007755552418529987
A1,patch internal only,TimeFilter,val,rain_hours,24,12,0.06445367634296417,0.07703399015934567,0.005934235639870167
A2,A1 + weather,DLinear,test,blast_hours,24,12,0.12227225303649902,0.182695443424735,0.03337762504816055
A2,A1 + weather,DLinear,test,non_event_hours,24,12,0.15803903341293335,0.47631272821504766,0.22687381505966187
A2,A1 + weather,DLinear,test,rain_hours,24,12,0.15012964606285095,0.4177774900834607,0.1745380312204361
A2,A1 + weather,DLinear,val,blast_hours,24,12,0.08300506323575974,0.11599507037377904,0.013454856351017952
A2,A1 + weather,DLinear,val,non_event_hours,24,12,0.07797141373157501,0.09565537098178804,0.009149949997663498
A2,A1 + weather,DLinear,val,rain_hours,24,12,0.08229609578847885,0.09635260673067828,0.009283824823796749
A2,A1 + weather,LSTM,test,blast_hours,24,12,0.04009480029344559,0.052879414402177874,0.0027962324675172567
A2,A1 + weather,LSTM,test,non_event_hours,24,12,0.10162433236837387,0.4754979955057359,0.22609834372997284
A2,A1 + weather,LSTM,test,rain_hours,24,12,0.11693622171878815,0.41372188017331163,0.17116579413414001
A2,A1 + weather,LSTM,val,blast_hours,24,12,0.07644684612751007,0.12764977999041419,0.016294466331601143
A2,A1 + weather,LSTM,val,non_event_hours,24,12,0.044051505625247955,0.07130823465453826,0.00508486432954669
A2,A1 + weather,LSTM,val,rain_hours,24,12,0.021455680951476097,0.02643535222713593,0.0006988278473727405
A2,A1 + weather,PatchTST,test,blast_hours,24,12,0.09113769978284836,0.1412703685822704,0.019957317039370537
A2,A1 + weather,PatchTST,test,non_event_hours,24,12,0.1442672610282898,0.4741179194083842,0.22478780150413513
A2,A1 + weather,PatchTST,test,rain_hours,24,12,0.14996309578418732,0.4153772748803918,0.17253828048706055
