experiment,description,seq_len,pred_len,split,feature_count,sample_count,row_count,mae,rmse,mse
A2,A1 + weather,48,12,test,14,117,35919,2.7132436741794663e-08,3.2960622843073715e-08,1.0864026582033527e-15
A2,A1 + weather,48,12,val,14,117,35919,2.7132436741794663e-08,3.2960622843073715e-08,1.0864026582033527e-15
A2,A1 + weather,96,1,test,14,128,39296,5.3411955747151296e-08,5.476352826765626e-08,2.9990440283223863e-15
A2,A1 + weather,96,1,val,14,128,39296,5.3411955747151296e-08,5.476352826765626e-08,2.9990440283223863e-15
A2,A1 + weather,96,3,test,14,126,38682,1.7894336679091793e-08,2.0560950565008982e-08,4.227526881367432e-16
A2,A1 + weather,96,3,val,14,126,38682,1.7894336679091793e-08,2.0560950565008982e-08,4.227526881367432e-16
A2,A1 + weather,96,6,test,14,123,37761,3.078597643479952e-08,3.50839478587733e-08,1.2308833973571237e-15
A2,A1 + weather,96,6,val,14,123,37761,3.078597643479952e-08,3.508394484089392e-08,1.2308831855988868e-15
A2,A1 + weather,96,12,test,14,117,35919,2.2953637213163347e-08,2.73368543486981e-08,7.473036056819342e-16
A2,A1 + weather,96,12,val,14,117,35919,2.2953637213163347e-08,2.7336852412134354e-08,7.473034998028158e-16
A3,A2 + blast V2,24,1,test,21,128,39296,2.7030013782791684e-08,2.7645009333115913e-08,7.64246541028066e-16
A3,A2 + blast V2,24,1,val,21,128,39296,2.7030013782791684e-08,2.7645009333115913e-08,7.64246541028066e-16
A3,A2 + blast V2,24,3,test,21,126,38682,1.915863556689601e-08,2.6331026130921036e-08,6.933229371072465e-16
A3,A2 + blast V2,24,3,val,21,126,38682,1.915863556689601e-08,2.6331026130921036e-08,6.933229371072465e-16
A3,A2 + blast V2,24,6,test,21,123,37761,1.875008237561815e-08,2.175127784162695e-08,4.731180877436516e-16
A3,A2 + blast V2,24,6,val,21,123,37761,1.875008237561815e-08,2.175127784162695e-08,4.731180877436516e-16
